Variable1,Correlation,Description,Variable_Part,Variable_Part_Description
Average,-0.8725256208989904,Ecdf_S13,dim6,Packer breakdown
Median,-0.9191244897443428,Ex_S3_S100,dim6,Packer breakdown
Average,0.9683720569152021,Ex_S13_S14,dim7,Warehouse processing time
Median,0.9514670935332044,Ex_S13_S14,dim7,Warehouse processing time
Average,0.8771328668040911,Ecdf_S13,dim7,Warehouse processing time
Average,0.8506440839549096,Ex_S6_S105,dim7,Warehouse processing time
Median,0.7847241887207632,Ex_S6_S105,dim7,Warehouse processing time
Median,0.759094359654469,Ex_S6_S7,dim7,Warehouse processing time
Median,0.7104560520378481,Ex_S10_S12,dim7,Warehouse processing time
Median,0.6762606896688425,Ecdf_S12,dim7,Warehouse processing time
Average,-0.6720856783801852,Ex_S2_S3,dim7,Warehouse processing time
Average,-0.6760603984021676,Ex_S12_S13,dim7,Warehouse processing time
Average,-0.6775038442050098,Ex_S5_S6,dim7,Warehouse processing time
Median,-0.6880955761171481,Ecdf_S5,dim7,Warehouse processing time
Average,-0.7100064754408585,Ecdf_S1,dim7,Warehouse processing time
Average,-0.82322905682922,Ecdf_S6,dim7,Warehouse processing time
Average,-0.8268500560791407,Ecdf_S3,dim7,Warehouse processing time
Average,-0.8270668998136608,Ecdf_S5,dim7,Warehouse processing time
Average,-0.8272188876126945,Ecdf_S8,dim7,Warehouse processing time
Median,-0.9191244897443428,Ecdf_S6,dim7,Warehouse processing time
Median,-0.919124489744343,Ex_S4_S5,dim7,Warehouse processing time
