;name;start;end;duration
0;_create_relations_using_relation for (pizza ) - [:PART_OF] -> (pack );13:34:20;13:34:20;0,07152318954467773
0;_create_relations_using_relation for (pack ) - [:PART_OF] -> (box );13:34:20;13:34:20;0,06209135055541992
0;_create_relations_using_relation for (box ) - [:PART_OF] -> (pallet );13:34:20;13:34:20;0,059600114822387695
0;_create_df_edges_for_entity for (:Entity:Pizza:V3);13:34:20;13:34:20;0,14368343353271484
0;_create_df_edges_for_entity for (:Entity:Pack:V3);13:34:20;13:34:20;0,017247676849365234
0;_create_df_edges_for_entity for (:Entity:Box:V3);13:34:20;13:34:20;0,009000539779663086
0;_create_df_edges_for_entity for (:Entity:Pallet:V3);13:34:20;13:34:20;0,005000591278076172
0;_create_df_edges_for_entity for (:Entity:Resource:MachinePart:Sensor:V3);13:34:20;13:34:20;0,0866851806640625
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:34:20;13:34:20;0,07199668884277344
0;_create_df_edges_for_entity for (:Entity:Resource:HumanResource:Operator:V3);13:34:20;13:34:20;0,0040361881256103516
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:34:20;13:34:20;0,01954936981201172
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:34:20;13:34:20;0,004000425338745117
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:34:20;13:34:20;0,0020020008087158203
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:34:20;13:34:20;0,001998424530029297
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:34:20;13:34:20;0,025001049041748047
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:34:20;13:34:20;0,023000240325927734
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:34:20;13:34:20;0,00299835205078125
0;_create_df_process_model for (:Entity:Pizza:V3);13:34:20;13:34:20;0,07469391822814941
0;_create_df_process_model for (:Entity:Pack:V3);13:34:20;13:34:21;0,0460054874420166
0;_create_df_process_model for (:Entity:Box:V3);13:34:21;13:34:21;0,04450869560241699
0;_create_df_process_model for (:Entity:Pallet:V3);13:34:21;13:34:21;0,042999982833862305
0;connect_stations_and_sensors;13:34:21;13:34:21;0,12063956260681152
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:34:21;13:34:21;0,08651399612426758
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:34:21;13:34:21;0,021598100662231445
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:34:21;13:34:21;0,005001544952392578
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:34:21;13:34:21;0,003998756408691406
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:34:21;13:34:21;0,0030028820037841797
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:34:21;13:34:21;0,04699587821960449
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:34:21;13:34:21;0,02500629425048828
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:34:21;13:34:21;0,001999378204345703
0;total;13:32:23;13:34:45;141,63943362236023
